Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
16,3,0,1,3,0,1,0,3,9,4,5,7,0,0,0,2,8,2,2,2,3,2,5,3,5,1,2
16,3,1,1,4,0,2,4,3,7,2,5,7,0,0,0,2,8,2,2,5,0,1,0,2,5,1,2
16,3,1,1,4,0,4,1,3,7,6,5,7,0,0,0,2,1,2,2,2,0,1,3,2,5,16,2
7,3,0,1,4,0,0,0,3,6,2,3,1,0,3,0,5,2,2,1,7,3,2,5,3,5,13,2
7,3,0,1,1,0,1,5,0,12,0,5,1,2,3,0,5,8,2,1,2,0,1,1,2,5,4,2
326,2,4,0,1,0,1,4,3,7,2,3,7,0,0,3,0,8,2,2,2,0,1,3,2,5,16,2
326,2,1,1,1,0,2,4,3,7,2,8,7,0,0,3,0,8,2,2,11,0,1,3,2,5,12,2
326,2,1,1,4,0,2,0,0,2,2,5,7,0,0,3,0,8,2,2,2,3,2,5,3,5,9,2
388,2,3,1,4,3,2,0,3,6,2,6,7,0,3,0,4,9,2,1,3,0,1,3,2,5,13,2
388,2,3,1,4,0,3,0,3,7,2,6,7,0,3,0,4,8,2,1,2,3,2,5,3,5,12,2
593,0,3,1,4,0,3,10,0,9,0,5,7,0,0,0,2,8,2,2,3,0,1,0,2,5,11,2
593,0,1,1,4,2,3,9,3,6,2,5,7,0,0,0,2,8,2,2,2,1,0,0,2,5,1,2
574,1,2,1,4,0,6,7,3,6,4,5,0,0,3,2,2,8,2,3,2,0,1,1,1,5,1,2
574,1,1,1,4,0,2,0,3,6,2,5,0,0,3,2,2,8,2,3,11,3,2,5,3,5,1,2
574,1,1,1,4,0,1,0,1,2,2,5,0,0,3,2,2,8,2,3,2,0,1,4,2,5,4,2
543,5,0,1,1,0,2,10,3,6,2,5,0,0,3,0,2,8,2,1,2,3,2,5,3,5,0,2
543,5,0,1,4,0,1,10,3,6,2,6,0,3,3,0,2,8,2,1,2,2,0,4,2,6,9,2
466,2,2,1,2,2,2,0,3,6,2,6,1,0,3,0,4,8,2,1,9,3,2,5,3,5,2,2
466,2,0,1,4,0,3,7,3,6,2,5,1,0,3,0,4,1,2,1,2,0,1,1,2,5,9,2
691,3,1,1,4,0,1,8,3,7,2,5,7,0,0,0,2,2,2,1,2,3,2,5,3,5,10,2
691,3,1,2,1,0,1,5,3,9,0,5,7,0,0,0,2,2,2,1,2,1,0,0,2,5,13,2
298,1,2,1,2,2,3,0,3,2,4,5,7,0,0,3,2,8,2,2,7,0,1,0,1,5,12,2
298,1,2,1,1,0,0,0,3,7,2,5,7,0,0,3,2,8,2,2,1,3,2,5,3,5,1,2
298,1,0,2,4,0,3,5,3,1,2,5,7,0,0,3,2,8,2,2,2,3,2,5,3,5,13,2
458,3,1,1,4,3,2,0,3,7,2,5,0,0,3,0,2,8,2,1,1,0,1,0,2,5,10,2
458,3,2,1,4,2,2,7,3,4,4,6,0,0,3,0,2,8,2,1,2,3,2,5,3,5,3,2
711,2,0,1,0,0,2,0,3,7,2,5,0,0,3,0,4,2,2,1,2,0,1,1,2,5,10,2
711,2,0,1,4,0,2,0,3,7,6,5,0,0,3,0,4,8,2,1,2,2,0,0,2,5,9,2
944,5,0,1,4,0,3,0,3,2,6,5,7,0,3,3,2,8,2,1,2,3,2,5,3,5,10,2
944,5,1,1,4,0,0,0,3,2,4,5,7,0,3,3,2,8,2,1,2,0,1,4,2,5,9,2
74,6,1,1,4,0,1,5,3,7,2,5,1,0,3,3,3,8,1,1,2,0,1,1,1,5,11,2
210,6,1,1,4,0,4,7,3,7,1,5,1,0,3,3,4,8,2,3,2,1,0,0,2,5,0,2
210,6,1,1,4,0,3,8,0,1,2,5,1,0,3,3,4,8,2,3,2,3,2,5,3,5,10,2
210,6,1,1,4,0,0,14,3,7,4,5,1,0,3,3,4,1,2,3,2,3,2,5,3,5,13,2
114,4,0,1,0,0,2,7,3,6,4,5,7,4,0,3,2,1,2,1,3,0,1,4,2,5,10,2
114,4,0,1,4,0,2,8,3,2,2,5,7,0,0,3,2,2,2,1,2,0,1,0,2,5,11,2
379,0,4,0,1,2,4,14,3,6,2,5,7,0,3,0,2,1,3,1,2,3,2,5,3,5,9,2
379,0,1,1,4,3,2,5,3,6,4,7,7,0,3,0,2,8,3,1,2,3,2,5,3,5,11,2
379,0,2,2,4,0,3,0,3,7,4,5,7,0,3,0,2,8,3,1,2,0,1,0,2,5,10,2
596,0,1,1,4,3,2,0,0,9,2,5,1,0,3,0,2,8,1,1,2,1,0,0,2,5,11,1
655,1,0,1,4,0,0,0,3,6,2,6,1,0,3,0,4,2,2,1,2,0,1,0,2,5,3,1
655,1,0,1,4,2,1,0,3,9,6,5,1,0,3,0,4,2,2,1,2,0,1,0,2,5,7,1
466,6,0,1,4,0,6,16,3,9,2,5,1,4,3,2,8,8,2,3,2,1,0,0,2,5,3,2
466,6,0,2,4,0,3,0,3,7,0,5,1,0,3,2,8,8,2,3,2,3,2,5,3,5,0,2
466,6,0,1,4,2,1,14,3,3,1,5,1,0,3,2,8,8,2,3,2,0,1,0,2,5,12,2
429,6,2,1,4,0,2,0,0,7,4,5,7,0,3,0,4,8,1,1,2,3,2,5,3,5,1,2
671,1,0,1,4,0,1,0,3,7,4,5,2,0,3,0,4,8,1,1,2,0,1,4,2,5,1,1
326,1,0,1,4,0,0,0,3,1,1,6,7,0,0,3,2,8,1,1,2,0,0,0,2,5,10,2
506,1,4,0,4,0,2,8,3,7,4,5,7,0,3,0,4,8,1,1,2,3,2,5,3,5,10,2
982,6,2,1,4,0,1,5,3,7,4,5,1,0,0,3,2,8,1,1,2,3,2,5,3,5,0,2
326,5,4,0,1,0,2,5,3,7,4,5,0,0,3,2,2,8,1,1,2,0,1,0,2,5,1,2
493,0,0,2,0,2,2,0,3,6,2,5,0,0,3,0,4,2,2,1,2,1,1,0,2,5,12,2
493,0,0,1,4,0,1,5,3,7,2,6,0,4,3,0,4,2,2,1,7,2,0,4,2,6,0,2
566,6,0,1,4,0,1,5,3,9,2,5,0,0,3,2,4,1,2,1,2,2,0,3,1,0,12,2
566,6,0,1,4,0,1,5,3,7,4,5,0,0,3,2,4,8,2,1,2,0,1,4,2,5,9,2
1046,0,1,2,4,0,2,5,3,7,4,5,1,0,3,3,2,8,2,1,2,3,2,5,3,5,18,1
1046,0,0,1,4,0,0,0,3,2,4,5,1,0,3,3,2,8,2,1,11,2,0,4,2,0,10,1
260,6,0,1,4,2,1,0,3,6,4,5,1,1,0,3,2,8,2,1,2,3,2,5,3,5,10,2
260,6,2,1,2,2,1,0,3,12,6,5,1,0,0,3,2,8,2,1,2,0,1,3,2,5,10,2
251,0,1,1,4,0,2,10,3,7,4,5,7,0,3,3,2,8,2,1,2,1,1,1,2,5,0,2
